COSTO POR COBRO MP EN 3 CUOTAS ,30%,,,,,,,
COSTO POR OFRECER 6 CUOTAS ,50%,,,,,,,
COSTOS FIJOS (S/A/C/G),"$40,000.00",,,,,,,
GANANCIA 50% mas 10% iibb+manotributo total60%,1.6,,,,,,,
DOLAR,"$1,500.00",,,,,,,
,,,,,,,,
REPARACION,TIPO DE REPARACION,PRECIO DEL REPUESTO EN USD ,PRECIO DEL REPUESTO EN PESOS ,PRECIO CON 60% de ganancia ,PRECIO DE LA REPARACION CON COSTOS FIJOS,PRECIO DE LA REPARACION EN EFECTIVO O TRANSFERENCIA ,PRECIO DE LA CUOTA EN  3 PARTES,PRECIO DE LA REPARACION EN 6 CUOTAS 
Cambio de Bateria iphone 16 plus,CAMBIO DE BATERIA,$0.00,$0.00,$0.00,"$40,000.00",$0.00,$0.00,$0.00
Cambio de Bateria iphone 16 pro,CAMBIO DE BATERIA,$0.00,$0.00,$0.00,"$40,000.00",$0.00,$0.00,$0.00
Cambio de Bateria iphone 16 pro max,CAMBIO DE BATERIA,$0.00,$0.00,$0.00,"$40,000.00",$0.00,$0.00,$0.00
Cambio de vidrio trasero iphone 8,CAMBIO DE VIDRIO TRASERO,$4.00,"$6,000.00","$9,600.00","$49,600.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de vidrio trasero  iphone 8 plus,CAMBIO DE VIDRIO TRASERO,$4.00,"$6,000.00","$9,600.00","$49,600.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de vidrio trasero  iphone SE 2/3,CAMBIO DE VIDRIO TRASERO,$5.00,"$7,500.00","$12,000.00","$52,000.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de vidrio trasero iphone x,CAMBIO DE VIDRIO TRASERO,$5.00,"$7,500.00","$12,000.00","$52,000.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de vidrio trasero iphone xs,CAMBIO DE VIDRIO TRASERO,$5.00,"$7,500.00","$12,000.00","$52,000.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de vidrio trasero iphone Xs max,CAMBIO DE VIDRIO TRASERO,$6.00,"$9,000.00","$14,400.00","$54,400.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de vidrio trasero iphone XR,CAMBIO DE VIDRIO TRASERO,$5.00,"$7,500.00","$12,000.00","$52,000.00","$55,000.00","$71,500.00","$82,500.00"
Cambio de vidrio trasero iphone 11,CAMBIO DE VIDRIO TRASERO,$6.00,"$9,000.00","$14,400.00","$54,400.00","$59,500.00","$77,350.00","$89,250.00"
